item_id,coverage,missing_provisions,reason,source_url,evidence_excerpt
DORA-13,No,EU-2022-2554::Article 19(4)(b),"Delegated Regulation 2025/301 Article 5(1)(b) covers the 72-hour timing and recovery-triggered update, but the item also includes material status/handling changes and competent-authority requests. Those triggers are stated in DORA Article 19(4)(b), which is missing from the existing mapping.",https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng | https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng,The delegated rule sets timing and recovery updates; DORA Article 19(4)(b) adds material-change and authority-request triggers.
DORA-14,Yes,,Delegated Regulation 2025/301 Article 5(1)(c) directly requires the final report no later than one month after the intermediate report or the latest updated intermediate report.,https://eur-lex.europa.eu/eli/reg_del/2025/301/oj/eng,The final report is due no later than one month after the relevant intermediate report.
DORA-15,Yes,,Delegated Regulation 2024/1774 Article 10(2) directly requires automated vulnerability scanning and assessment at least weekly for ICT assets supporting critical or important functions.,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng,Critical or important ICT assets require automated vulnerability scanning and assessment at least weekly.
DORA-16,Yes,,Delegated Regulation 2024/1774 Article 21(1)(e)(iv) directly sets at least annual access-right reviews for ICT systems that do not support critical or important functions.,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng,Ordinary ICT systems require access-right review at least once a year.
DORA-17,Yes,,Delegated Regulation 2024/1774 Article 21(1)(e)(iv) directly requires access-right reviews at least every six months for ICT systems supporting critical or important functions.,https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng,Critical or important ICT systems require access-right review at least every six months.
DORA-18,No,EU-2024-1774::Article 25(2)(a),"DORA Article 11(6) supplies the annual testing frequency, but the severe-but-plausible scenario requirement is directly stated in Delegated Regulation 2024/1774 Article 25(2)(a). The existing reference to Article 26 does not replace that provision.",https://eur-lex.europa.eu/eli/reg/2022/2554/oj/eng | https://eur-lex.europa.eu/eli/reg_del/2024/1774/oj/eng,Annual continuity testing comes from DORA; Article 25(2)(a) requires an adequate set of severe but plausible disruption scenarios.
DORA-19,Yes,,Delegated Regulation 2024/1773 Article 3(1) directly requires the policy on ICT third-party services supporting critical or important functions to be reviewed at least once a year and updated where necessary.,https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng,The ICT third-party-services policy must be reviewed at least annually and updated where necessary.
DORA-20,No,EU-2024-1773::Article 3(7),"Articles 8–9 support audit rights, performance assessment and independent reviews, but the item specifically requires critical or important ICT services to be independently reviewed and included in the audit plan. That explicit requirement is in Article 3(7), which is missing.",https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng,Article 3(7) requires independent review of critical/important ICT services and inclusion in the audit plan.
DORA-21,No,EU-2024-1773::Article 9(1),"Article 8 concerns contractual clauses and audit/access rights. The item is about ongoing provider performance and risk monitoring, which is directly required by Article 9(1). The existing mapping therefore does not adequately cover the control.",https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng,Article 9(1) requires ongoing monitoring of ICT third-party provider performance using measures and key indicators.
DORA-22,Yes,,"Delegated Regulation 2024/1773 Article 10 directly requires a documented exit plan for each contractual arrangement and periodic review and testing of that plan, without imposing a uniform annual frequency.",https://eur-lex.europa.eu/eli/reg_del/2024/1773/oj/eng,Exit plans must be documented and periodically reviewed and tested using plausible scenarios and reasonable assumptions.
