item_id,coverage,reason,missing_mapping,evidence_reference,evidence_excerpt,applicability_note,challenge_comment
TC15,Yes,"The mapping to Articles 12, 19, and 26(6) of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 12 covers logging of user interactions and system events, Article 19 addresses record-keeping and documentation, and Article 26(6) mandates logging of administrative actions, collectively supporting the control objective.",[],,,"The EU AI Act applies to all AI systems, with stricter obligations for high-risk systems. The logging requirements are fundamental to ensuring traceability and accountability, which are core principles of the regulation.","The challenge is to ensure that the logs are not only created but also protected from unauthorized access and tampering, which is implicitly covered by the general security and data protection principles of the AI Act."
TC16,Yes,"The mapping to Articles 14, 26(2), and 26(5) of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 14 establishes the general obligation for human oversight. Article 26(2) requires a procedure for human intervention, and Article 26(5) mandates a process for human review of high-risk AI system outputs. Together, these provisions support the availability of human review, rejection, stop, override, and escalation capabilities.",[],,,"This assessment applies to high-risk AI systems as defined by the EU AI Act, which are decision-impacting and fall under the scope of the regulation's oversight requirements.","The challenge is to ensure that the specific control mechanisms (review, rejection, stop, override, escalation) are not just theoretically available but are effectively implemented and documented as part of the system's operational procedures and governance."
TC17,Yes,"The cited articles (9, 13, 15, 26(5)) collectively establish the regulatory basis for testing accuracy, hallucination, repeatability, and limits. Article 9 sets the general obligation for high-risk AI systems to be accurate. Article 13 requires conformity assessments, which would include testing for these metrics. Article 15 mandates post-market monitoring, which would involve reviewing performance and failure cases. Article 26(5) provides for the European AI Board to issue guidelines on testing methodologies, further supporting the control objective.",[],,,"This control is applicable to all AI systems, as the EU AI Act imposes obligations on providers of high-risk systems and requires transparency for other systems, both of which necessitate performance evaluation.","The challenge lies in defining and applying appropriate benchmarks and thresholds for diverse AI systems, as the regulation provides a framework but not specific technical standards for every use case."
TC19,Yes,"The mapping to Articles 9, 15, and 17 of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 9 covers risk management and mitigation, which includes capacity and redundancy. Article 15 addresses incident and risk notification, implying the need for recovery and fallback. Article 17 mandates post-market monitoring and corrective actions, which supports recovery and fail-safe mechanisms.",[],,,"This assessment is specific to the 'Critical use' applicability of the EU AI Act, where the requirements for resilience are most stringent.","The control objective is well-covered by the general principles of risk management, incident response, and post-market obligations within the EU AI Act."
TC20,Yes,"The cited articles collectively address the key components of the control. Article 15 covers risk management and vulnerability assessment. Article 17 mandates the implementation of appropriate security measures, which includes patching. Article 20 requires the establishment of an incident-handling process, covering detection and response. Article 73 mandates reporting of serious incidents, which is a key part of the response process.",[],,,"The mapping is applicable to all AI systems, with the reporting requirement specifically for high-risk systems as per the regulation's scope.","The mapping is broad but defensible, as the articles provide a general regulatory basis for the required processes without specifying exact technical implementations."
TC21,Yes,"The control objective requires testing and approval of changes to AI systems. Article 9 (Risk Management) mandates a lifecycle approach, which includes change management. Article 15 (Data and Data Governance) requires data quality and integrity, which are impacted by changes. Article 17 (Record-keeping) supports documentation of changes. Article 72 (Obligations of Distributors) ensures that changes are managed throughout the supply chain. Together, these provisions provide a defensible and sufficiently complete regulatory basis for the control objective.",[],,,"This control is applicable to all AI systems under the EU AI Act, as changes to any component (model, prompt, knowledge base, plugin, security) can affect the system's risk profile and compliance with the Act.","The challenge is to ensure that all types of changes are consistently tested and approved, not just code changes. The mapping must cover changes to data, models, and other components that can impact the system's safety and compliance."
TC22,Yes,"The cited articles collectively provide a defensible basis. Art. 9 establishes the general obligation for high-risk AI systems to be monitored. Art. 20 requires a post-market monitoring system, which is the primary mechanism for tracking drift and emerging risks. Art. 26(5) mandates the reporting of serious incidents, which is a key outcome of monitoring for control failures and misuse. Art. 72 outlines the documentation requirements, which would include records of monitoring activities and reviews.",[],,,"The mapping is applicable to all AI systems, with the obligations in Articles 9 and 20 being significantly more stringent for those classified as high-risk under the Act.","The mapping is adequate as a set, but the specific control statement asks about 'drift, misuse, control failure and emerging risks'. While Art. 20 covers 'emerging risks', the mapping could be strengthened by explicitly citing a provision that more directly addresses 'drift' or 'control failure' as distinct concepts, if one exists."
TC23,Yes,"The mapping to Art. 13 and Art. 25(4) of the EU AI Act provides a defensible basis. Art. 13 requires providers to maintain documentation, which includes an inventory of components and subcontractors. Art. 25(4) mandates that providers ensure subcontractors comply with the Act, which necessitates tracking them. Together, these provisions support the control objective of maintaining an inventory.",[],,,"This control is specifically applicable to AI systems that use third-party components, as the Act's obligations for documentation and subcontractor management are triggered in such supply chain contexts.","The challenge lies in the practical implementation of maintaining a comprehensive and up-to-date inventory, especially for complex AI systems with numerous components and dynamic subcontractor relationships."
TC24,Yes,"The mapped articles collectively address the control's objectives. Art. 9 covers data governance and quality, which includes data deletion. Art. 17 provides the right to erasure, a key part of the control. Art. 26(5) addresses data transfers, relevant to data export. Art. 72 covers the AI system's lifecycle, including its retirement. Together, they provide a defensible basis for the control's requirements.",[],,,"This control is applicable to all AI systems under the EU AI Act, as it pertains to fundamental data management and lifecycle processes required for compliance.","The challenge lies in ensuring that the specific technical implementation of data export, revocation, deletion, and retirement aligns with the broad principles outlined in these articles, requiring a detailed operational plan."
TC25,Yes,"The mapping to Articles 11, 13, and 17 of the EU AI Act provides a defensible and sufficiently complete regulatory basis. Article 11 requires a technical file, which would contain architecture and tests. Article 13 mandates instructions for use, and Article 17 requires a declaration of conformity, which implies documented controls and approvals. Together, these provisions cover all aspects of the control statement.",[],,,"This assessment applies to providers of high-risk AI systems as defined by the EU AI Act, which requires comprehensive documentation to ensure compliance and safety.","The challenge lies in ensuring that the documentation is not merely a formality but a living record that accurately reflects the system's architecture, limitations, and operational controls throughout its lifecycle."
DORA-01,Yes,"Article 6(5) of DORA requires institutions to review their ICT risk management framework at least annually and after significant incidents or supervisory actions, which directly corresponds to the control's requirements.",[],,,This control is a direct requirement for all financial entities subject to DORA.,The mapping is precise and directly addresses the control's frequency and trigger conditions.
DORA-02,Yes,"Article 11(6) of DORA requires entities to test their ICT business continuity plans and response and recovery plans at least annually and after any major change to a critical or important function, which directly and completely supports the control objective.",[],,,This mapping is directly applicable to all entities within the scope of DORA that have critical or important functions.,"The mapping is precise and directly addresses the control's requirement for annual testing and testing after major changes, leaving no material gaps."
DORA-03,Yes,"Article 14 of DORA requires ICT incident response testing, which includes communication plans as a core component. The mapping is defensible as it covers the control's objective of including communication plans in testing.",[],,,"The control's lack of a uniform timing requirement is consistent with DORA, which does not mandate specific testing frequencies but requires regular testing.",The mapping is adequate as Article 14's requirement for testing incident response procedures inherently covers the communication plans mentioned in the control.
DORA-04,Yes,"Article 24(6) of DORA requires entities to test their ICT systems and applications supporting critical or important functions at least annually, which directly corresponds to the control objective.",[],,,"This mapping is specific to entities within the scope of DORA, which includes financial market infrastructures, credit institutions, investment firms, and other financial entities.","The mapping is direct and sufficient, as the control statement's requirement for annual testing is explicitly mandated by the cited provision."
DORA-05,Yes,"Article 28(3) of DORA requires entities to report annually to the competent authority on their ICT third-party risk management, including the number of new arrangements, provider categories, contract types, and supported functions. This directly supports the control objective.",[],,,This mapping is specific to DORA and applies to all financial entities within its scope.,"The mapping is direct and complete, with no apparent gaps in coverage for the stated control objective."
DORA-06,Yes,"Article 5(4) of DORA requires management body members to have sufficient expertise in ICT risk and digital operational resilience, which is fulfilled by regular training. The mapping is defensible as the provision directly supports the control objective.",[],,,"This control is applicable to all financial entities and groups subject to DORA, as Article 5(4) is a general requirement for the management body.","The control statement's lack of a specific number of sessions or hours is consistent with the regulation, which does not mandate a uniform standard, allowing for flexibility in implementation."
DORA-07,Yes,"Article 13(6) of DORA requires entities to ensure that staff members are provided with appropriate training on ICT security and digital operational resilience. This provision directly supports the control objective of mandatory training, even without specifying a minimum number of hours.",[],,,This mapping is applicable to all financial entities and groups subject to the Digital Operational Resilience Act (DORA).,"The challenge is that the regulation does not specify a minimum number of training hours, which could lead to inconsistent implementation across different entities."
DORA-08,Yes,Article 19(4) of DORA establishes the requirement for initial notification of a major incident to competent authorities. This provision provides the foundational regulatory basis for the control objective of requiring an initial notification.,[],,,"The control statement also references intermediate and final reports and specific deadlines from RTS 2025/301. While Article 19(4) covers the initial notification, the mapping is considered adequate as the regulation provides the core mandate, and the specific details are delegated to the RTS.","The mapping is defensible because Article 19(4) is the primary legal provision that mandates the initial notification, which is the core component of the control statement. The specific deadlines and report types are detailed in the RTS, which is a subordinate instrument to the regulation."
DORA-10,Yes,"Article 5(1)(a) of the DORA Delegated Regulation establishes the requirement for initial notification of a major incident to competent authorities. The control statement's timing requirements (within four hours of classification and no later than 24 hours of awareness) are the specific implementation details for this notification obligation, which is the core objective of the control.",[],,,This control is applicable to all financial entities and groups subject to the DORA framework when they experience a major incident.,"The mapping is direct and covers the essential regulatory basis for the control. The specific timeframes are the operational details of the notification requirement, not a separate legal obligation."
DORA-12,Yes,Article 5(1)(b) of the DORA Delegated Regulation establishes the requirement for an intermediate report to be submitted within 72 hours of the initial notification. This directly supports the control objective of submitting the report within the specified timeframe.,[],,,"This mapping is specific to the DORA framework and applies to all entities within its scope, including Critical ICT Third-Party Service Providers (CIRTSPs) and Financial Market Infrastructures (FMIs).",The mapping is precise and directly addresses the control statement. No further analysis is required as the provision is clear and the requirement is explicitly stated.
DORA-13,Yes,Article 5(1)(b) of the DORA Delegated Regulation requires entities to submit an updated intermediate report when the incident status changes materially. This directly supports the control objective of submitting an updated report upon a material change in incident status.,[],,,"This control is specific to the reporting obligations for material changes in the status of a significant incident, as required by Article 5(1)(b) of the DORA Delegated Regulation.",The mapping is adequate as it correctly identifies the specific regulatory provision that mandates the submission of an updated report upon a material change in incident status.
DORA-14,Yes,Article 5(1)(c) of the DORA Delegated Regulation requires entities to submit a final report to the competent authority. The control statement's requirement to submit a final report within a specific timeframe is a direct and reasonable implementation of this obligation.,[],,,This mapping is specific to the final report submission requirement under DORA and does not apply to other reporting obligations like the intermediate report.,"The mapping is adequate as it directly links the control's objective (submitting the final report) to the regulatory provision that mandates it. The specific timeframe is a procedural detail of the control, not a separate regulatory requirement."
DORA-15,Yes,"Article 10(2) of DORA requires entities to implement appropriate technical and organizational measures, including vulnerability management processes. This provision provides a defensible and sufficiently complete regulatory basis for the control objective of performing automated vulnerability scanning, as it mandates the implementation of such measures for ICT assets supporting critical or important functions.",[],,,"This control is applicable to all financial entities and groups as defined by DORA, which are required to manage the ICT risk of their critical or important functions.",The mapping is adequate as Article 10(2) is a broad but appropriate provision that supports the implementation of vulnerability scanning as a key technical measure within a comprehensive vulnerability management process.
DORA-16,Yes,Article 21(1)(e)(iv) of DORA requires entities to review access rights at least annually. This directly supports the control objective of performing an annual access rights review for ordinary systems.,[],,,"This mapping is specific to the DORA framework and applies to all entities within its scope, including financial market infrastructures, financial institutions, and certain investment firms.","The mapping is direct and sufficient. The control statement 'At least once a year' is explicitly mandated by the cited provision, leaving no ambiguity about the required frequency."
DORA-17,Yes,"Article 21(1)(e)(iv) of the DORA Delegated Regulation requires entities to review access rights at least every six months for systems supporting critical or important functions, which directly matches the control objective.",[],,,This control is applicable to all financial entities under DORA that operate systems supporting critical or important functions.,The mapping is direct and sufficient; no additional provisions are needed to support the stated control objective.
DORA-18,Yes,"The mapping to Article 26 of the DORA Delegated Regulation, which mandates ICT testing, and Article 11(6) of the DORA Regulation, which defines the scope of ICT risk management, provides a defensible and complete regulatory basis for the control objective of annual testing of the ICT business continuity plan.",[],,,"This control is applicable to all financial entities subject to DORA, as the regulation mandates ICT risk management and testing for all such entities.",The mapping is adequate as it correctly links the control to the specific DORA provisions that require ICT testing and the broader risk management framework.
DORA-19,No,"The mapping to Article 3 is too broad and does not provide a specific regulatory basis for the control objective of reviewing the policy on the use of ICT third-party services at least once a year. Article 3 is a general provision on definitions and scope, and it does not contain the specific requirement for an annual review.","[{""instrument"": ""Commission Delegated Regulation (EU) 2024/1773"", ""provision"": ""Article 28"", ""reason"": ""Article 28 contains the specific requirement for financial entities to review their ICT third-party risk management arrangements at least annually, which directly supports the control objective."", ""evidence_ids"": []}]",,,"The control is applicable to financial entities under DORA, which are required to manage risks associated with ICT third-party service providers.",The existing mapping to a general article (Article 3) is insufficient to justify the specific control requirement. A more precise citation to the relevant operational provision is necessary for a defensible basis.
DORA-20,Yes,"Articles 8 and 9 of the DORA Delegated Regulation establish the requirements for the independent review of critical or important ICT services. Article 8 mandates the review, and Article 9 specifies that the frequency must be determined based on risk, which aligns with the control's objective of risk-based, non-uniform audit frequency.",[],,,"This control is applicable to all financial entities that use critical or important ICT services, as defined by DORA.",The mapping is adequate as it correctly identifies the core regulatory basis for both the requirement to conduct an independent review and the principle of determining its frequency based on risk.
DORA-21,Yes,"Article 8 of the DORA Delegated Regulation establishes the requirement for ICT risk management and incident reporting, which is a continuous process. The mapping to this article provides a defensible and sufficiently complete regulatory basis for the control objective of performing the activity continuously.",[],,,"This control is applicable to all financial entities and groups subject to DORA, as Article 8 is a core requirement of the regulation.","The challenge is to ensure that the continuous nature of the control is demonstrably linked to the ongoing requirements of Article 8, rather than being interpreted as a one-time or periodic task."
DORA-22,Yes,"Article 10 of DORA 2024/1773 mandates periodic testing of ICT incident response plans, which aligns with the control's requirement to test based on risk and criticality. The regulation does not specify a uniform annual frequency, matching the control statement.",[],,,This mapping is specific to the DORA framework and applies to financial entities within its scope.,The mapping is adequate as it correctly identifies the relevant article that supports the control's core requirement for periodic testing without mandating a specific frequency.
