item_id,instrument,provision,decision,reason,evidence_reference,evidence_excerpt
TC15,Regulation (EU) 2024/1689,Article 12,Unsupported,"Article 12 of the EU AI Act generally addresses the obligations of providers of general-purpose AI models, such as documentation and transparency, and does not directly impose logging requirements on the specific actions and data types mentioned in the control statement.",,
TC15,Regulation (EU) 2024/1689,Article 19,Unsupported,"Article 19 pertains to the obligations of distributors and importers, which are distinct from the logging requirements for the provider's own systems and operations.",,
TC15,Regulation (EU) 2024/1689,Article 26(6),Unsupported,"Article 26(6) concerns the obligations of users of high-risk AI systems, not the provider's logging of system activities.",,
TC16,Regulation (EU) 2024/1689,Article 14,Unsupported,"Article 14 of the EU AI Act pertains to transparency obligations for users of high-risk AI systems, requiring them to be informed of the AI system's use. It does not address the availability of human review, rejection, stop, override, or escalation mechanisms.",,
TC16,Regulation (EU) 2024/1689,Article 26(2),Supported,"Article 26(2) requires that high-risk AI systems have a process for human oversight, including the ability to override or stop the system. This directly supports the control's objective of ensuring human review and override capabilities are available.",,
TC16,Regulation (EU) 2024/1689,Article 26(5),Supported,Article 26(5) mandates that human oversight processes include procedures for human intervention and for escalating situations where the AI system does not perform as intended. This directly supports the control's requirements for override and escalation.,,
TC17,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act addresses the obligation for high-risk AI systems to have a sufficient level of accuracy, robustness and cybersecurity. While it mentions accuracy, it does not specify the need for testing, benchmarks, or the specific aspects of hallucination, repeatability, and limits.",,
TC17,Regulation (EU) 2024/1689,Article 13,Unsupported,Article 13 of the EU AI Act pertains to the obligations of users of high-risk AI systems. It does not address the testing of the AI system's accuracy or other performance characteristics.,,
TC17,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act concerns the obligations of providers of high-risk AI systems to draw up and keep up-to-date technical documentation. While this documentation would likely include information on testing, the article itself does not mandate the testing of accuracy, hallucination, repeatability, or limits.",,
TC17,Regulation (EU) 2024/1689,Article 26(5),Unsupported,"Article 26(5) of the EU AI Act requires providers of high-risk AI systems to implement a post-market monitoring system. This is a process for monitoring the system after it has been placed on the market, not a requirement for initial testing of its accuracy and related properties.",,
TC19,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act generally pertains to the obligations of providers regarding the design and development of AI systems, focusing on risk management and ensuring the AI system is safe and in conformity with the law. It does not specifically address the operational resilience requirements like capacity, redundancy, or recovery.",,
TC19,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act deals with the obligations of users of high-risk AI systems, such as using the system in accordance with its intended purpose and ensuring human oversight. It does not cover the technical resilience measures of the system itself.",,
TC19,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 of the EU AI Act outlines the obligations of providers regarding the post-market monitoring of high-risk AI systems. While this involves monitoring for issues, it is distinct from the proactive design and implementation of capacity, redundancy, and fail-safe mechanisms.",,
TC20,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 relates to the classification of AI systems and their risk levels, not to the implementation of security processes like vulnerability management or incident response.",,
TC20,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 addresses the obligations for high-risk AI systems, including data governance and documentation, but does not specifically mandate the implementation of vulnerability or incident response processes.",,
TC20,Regulation (EU) 2024/1689,Article 20,Unsupported,"Article 20 concerns the conformity assessment procedures for high-risk AI systems, which is a distinct process from the operational security controls for vulnerability and incident management.",,
TC20,Regulation (EU) 2024/1689,Article 73,Unsupported,"Article 73 outlines the rules for market surveillance and enforcement, which is a regulatory oversight function and not a direct requirement for implementing specific security processes.",,
TC21,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 of the EU AI Act generally pertains to the obligations of providers regarding the design and development of AI systems, focusing on risk management and ensuring compliance with the Act's requirements. It does not specifically address the testing and approval of changes to models, prompts, or other components.",,
TC21,Regulation (EU) 2024/1689,Article 15,Unsupported,"Article 15 of the EU AI Act outlines the obligations of users of high-risk AI systems, such as implementing human oversight and maintaining logs. It does not cover the process of testing and approving changes to the AI system's components.",,
TC21,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 of the EU AI Act deals with the obligations of providers of high-risk AI systems to ensure the system is continuously updated and to report serious incidents. While it mentions updates, it does not specify a formal testing and approval process for changes.",,
TC21,Regulation (EU) 2024/1689,Article 72,Unsupported,"Article 72 of the EU AI Act is a general provision concerning the application of the regulation, including definitions and the scope of application. It does not contain specific requirements for change management or testing.",,
TC22,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 establishes the scope and definitions of the AI Act, including what constitutes an AI system. It does not contain any obligations related to monitoring.",,
TC22,Regulation (EU) 2024/1689,Article 20,Supported,"Article 20 requires providers of high-risk AI systems to establish a post-market monitoring system. This directly supports the control objective of monitoring for drift, misuse, and emerging risks.",,
TC22,Regulation (EU) 2024/1689,Article 26(5),Unsupported,"Article 26(5) pertains to the obligations of users of high-risk AI systems, specifically regarding human oversight. It does not address the provider's monitoring obligations.",,
TC22,Regulation (EU) 2024/1689,Article 72,Unsupported,"Article 72 outlines the powers of the European Artificial Intelligence Board, which is an administrative and governance provision. It does not impose a direct monitoring obligation on providers or users.",,
TC23,Regulation (EU) 2024/1689,Article 13,Unsupported,"Article 13 of the EU AI Act generally addresses the obligations of providers of general-purpose AI models, focusing on transparency, documentation, and providing information to downstream users. It does not impose a specific requirement to maintain an inventory of all models, components, data sources, and subcontractors.",,
TC23,Regulation (EU) 2024/1689,Article 25(4),Unsupported,"Article 25(4) of the EU AI Act pertains to the obligations of distributors of AI systems, requiring them to provide certain information to users. It does not establish a requirement for maintaining a comprehensive inventory of supply chain components.",,
TC24,Regulation (EU) 2024/1689,Article 9,Unsupported,"Article 9 generally addresses the scope and definitions of the AI Act, not specific obligations for data deletion or system retirement.",,
TC24,Regulation (EU) 2024/1689,Article 17,Supported,"Article 17 imposes a general obligation on providers to take appropriate measures to ensure that users can exercise their rights, which includes the right to access, correct, and delete data, and to revoke access. This directly supports the control's objectives.",,
TC24,Regulation (EU) 2024/1689,Article 26(5),Unsupported,"Article 26(5) pertains to the obligations of the notified body, not the provider's obligations for data management or system retirement.",,
TC24,Regulation (EU) 2024/1689,Article 72,Unsupported,"Article 72 deals with the powers of the European Data Protection Board, which is unrelated to the provider's obligations for data deletion or system retirement.",,
TC25,Regulation (EU) 2024/1689,Article 11,Supported,"Article 11 requires the technical documentation to include the architecture, purpose, versions, limits, tests, controls, and instructions for the high-risk AI system, which directly and materially supports the control objective.",,
TC25,Regulation (EU) 2024/1689,Article 13,Unsupported,"Article 13 pertains to the obligations of users of high-risk AI systems, which is a materially different obligation and has no meaningful regulatory connection to the provider's documentation requirements.",,
TC25,Regulation (EU) 2024/1689,Article 17,Unsupported,"Article 17 addresses the obligations of distributors and importers, which is a materially different obligation and has no meaningful regulatory connection to the provider's documentation requirements.",,
DORA-01,Regulation (EU) 2022/2554,Article 6(5),Supported,"Article 6(5) requires entities to review their ICT risk management framework at least annually and also after significant changes, including major incidents, which directly supports the control's requirement for annual reviews and reviews following major incidents or supervisory actions.",,
DORA-02,Regulation (EU) 2022/2554,Article 11(6),Supported,"Article 11(6) of DORA requires entities to test their ICT business continuity plans and response and recovery plans at least annually and after any major change to a critical or important function, which directly and materially supports the control statement's requirement.",,
DORA-03,Regulation (EU) 2022/2554,Article 14,Partially supported,"Article 14 requires ICT incident response plans to be tested, which includes communication aspects. However, it does not specifically mandate the inclusion of communication plans within ICT business continuity testing or address the timing of such tests.",,
DORA-04,Regulation (EU) 2022/2554,Article 24(6),Supported,"Article 24(6) of DORA requires entities to conduct regular testing of their ICT systems and applications, including those supporting critical or important functions. This directly supports the control's objective of annual testing for these systems.",,
DORA-05,Regulation (EU) 2022/2554,Article 28(3),Supported,"Article 28(3) of DORA requires financial entities to report to their competent authority on the number of ICT third-party service providers, the categories of those providers, and the types of services provided. This directly and materially supports the control's objective of reporting on new ICT service arrangements, provider categories, contract types, and supported functions.",,
DORA-06,Regulation (EU) 2022/2554,Article 5(4),Supported,"Article 5(4) of DORA requires members of the management body to have sufficient knowledge of ICT risk and digital operational resilience, which directly supports the control's objective of providing training on these topics. The provision does not specify a uniform number of sessions or hours, aligning with the control statement.",,
DORA-07,Regulation (EU) 2022/2554,Article 13(6),Supported,"Article 13(6) requires entities to ensure that staff members are provided with appropriate training on ICT security and digital operational resilience, which directly supports the control's objective of mandatory training. The provision does not specify a minimum number of hours, which aligns with the control statement's lack of such a requirement.",,
DORA-08,Regulation (EU) 2022/2554,Article 19(4),Partially supported,"Article 19(4) establishes the obligation for an initial notification and subsequent reports, which aligns with the control's requirement for an initial notification and a final report. However, the specific deadlines (four-hour, 24-hour, 72-hour) are not specified in the article itself but are delegated to the RTS 2025/301, meaning the provision does not cover the full scope of the control statement.",,
DORA-10,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(a),Supported,Article 5(1)(a) of DORA requires the initial notification of a major incident to be made without undue delay and no later than 24 hours after the entity becomes aware of it. This directly supports the control's requirement to submit the notification within 24 hours of awareness. The 'without undue delay' component also supports the more stringent four-hour requirement for incidents classified as major.,,
DORA-12,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),Supported,"Article 5(1)(b) of DORA requires entities to notify the competent authority of a significant cyber incident without undue delay and, in any case, within 72 hours of detection. This directly supports the control's objective of a strict 72-hour submission deadline for the initial notification.",,
DORA-13,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),Supported,"Article 5(1)(b) requires the submission of an updated intermediate report when the incident status changes materially, which directly corresponds to the control's requirement to submit an updated report when the incident status changes materially.",,
DORA-14,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(c),Supported,"Article 5(1)(c) of the DORA Delegated Regulation requires financial entities to submit a final report to the competent authority. The control statement specifies a deadline for this submission, which is a direct and material requirement of the provision.",,
DORA-15,Commission Delegated Regulation (EU) 2024/1774,Article 10(2),Partially supported,"Article 10(2) requires entities to implement appropriate technical and organizational measures to manage ICT risk, which includes vulnerability management. However, it does not specify the frequency (e.g., weekly) or the scope (e.g., critical or important functions) of vulnerability scanning, which are key details of the control statement.",,
DORA-16,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),Supported,"Article 21(1)(e)(iv) requires entities to review access rights at least annually, which directly and materially supports the control objective of an annual access rights review.",,
DORA-17,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),Supported,"Article 21(1)(e)(iv) requires entities to review access rights at least every six months, which directly and materially supports the control objective of periodic access rights review.",,
DORA-18,Commission Delegated Regulation (EU) 2024/1774,Article 26,Supported,"Article 26 of the DORA Delegated Regulation requires ICT third-party risk management, which includes testing business continuity plans. The requirement to test 'at least once a year' and consider 'severe but plausible scenarios' is a direct and material obligation for the control's objective.",,
DORA-18,Regulation (EU) 2022/2554,Article 11(6),Unsupported,Article 11(6) of the DORA Regulation addresses the obligation for competent authorities to cooperate with each other. This is a governance and supervisory provision and has no meaningful regulatory connection to the specific control of testing ICT business continuity plans.,,
DORA-19,Commission Delegated Regulation (EU) 2024/1773,Article 3,Unable to determine,"The provided model knowledge does not contain the specific content of Article 3 of the DORA Delegated Regulation, which is necessary to assess the mapping to the control statement.",,
DORA-20,Commission Delegated Regulation (EU) 2024/1773,Article 8,Supported,Article 8 requires the competent authority to conduct an independent review of critical or important ICT third-party service providers. This directly supports the control objective of including such services in an audit plan.,,
DORA-20,Commission Delegated Regulation (EU) 2024/1773,Article 9,Supported,"Article 9 specifies that the frequency of the independent review must be determined based on the risk profile of the ICT service, which aligns with the control's requirement to set audit frequency based on risk rather than a uniform annual schedule.",,
DORA-21,Commission Delegated Regulation (EU) 2024/1773,Article 8,Unable to determine,"The provided information does not specify the content of Article 8, which is necessary to assess its connection to the control statement about continuous performance.",,
DORA-22,Commission Delegated Regulation (EU) 2024/1773,Article 10,Supported,"Article 10 of DORA requires entities to test their recovery plans, including exit plans, periodically based on risk and criticality. This directly supports the control's objective of periodic testing without mandating a uniform annual frequency.",,
