item_id,instrument,provision,decision,reason,evidence_reference,evidence_excerpt
TC09,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to tenant, entity and environment isolation, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC09,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to tenant, entity and environment isolation, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC10,Regulation (EU) 2024/1689,Article 10,Partially supported,"Data and data governance is relevant to retention and deletion across prompts, files, outputs, vectors and logs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 10 | EUR-Lex CELEX:32024R1689,"Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose."
TC10,Regulation (EU) 2024/1689,Article 12,Partially supported,"Record-keeping is relevant to retention and deletion across prompts, files, outputs, vectors and logs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 12 | EUR-Lex CELEX:32024R1689,High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system.
TC10,Regulation (EU) 2024/1689,Article 13,Unsupported,"Transparency and instructions for use addresses a different legal obligation and does not materially require retention and deletion across prompts, files, outputs, vectors and logs.",SYNTHETIC_PREVIEW_2026-09 | Article 13 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be accompanied by instructions for use ... that include concise, complete, correct and clear information."
TC10,Regulation (EU) 2024/1689,Article 26(6),Partially supported,"Deployer log retention is relevant to retention and deletion across prompts, files, outputs, vectors and logs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(6) | EUR-Lex CELEX:32024R1689,Deployers ... shall keep the logs automatically generated ... for a period appropriate to the intended purpose ... of at least six months.
TC11,Regulation (EU) 2024/1689,Article 10,Partially supported,"Data and data governance is relevant to excluding institutional data from provider training, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 10 | EUR-Lex CELEX:32024R1689,"Training, validation and testing data sets shall be subject to data governance and management practices appropriate for the intended purpose."
TC11,Regulation (EU) 2024/1689,Article 13,Partially supported,"Transparency and instructions for use is relevant to excluding institutional data from provider training, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 13 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be accompanied by instructions for use ... that include concise, complete, correct and clear information."
TC11,Regulation (EU) 2024/1689,Article 25(4),Partially supported,"Written cooperation along the AI value chain is relevant to excluding institutional data from provider training, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 25(4) | EUR-Lex CELEX:32024R1689,"The provider ... and the third party ... shall, by written agreement, specify the necessary information, capabilities, technical access and other assistance."
TC12,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to allowlisting and least privilege for APIs, plugins and agent tools, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC12,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to allowlisting and least privilege for APIs, plugins and agent tools, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC12,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to allowlisting and least privilege for APIs, plugins and agent tools, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC13,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to prompt-injection, malicious-file and retrieval-bypass defences, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC13,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to prompt-injection, malicious-file and retrieval-bypass defences, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC14,Regulation (EU) 2024/1689,Article 5,Partially supported,"Prohibited AI practices is relevant to controls over sensitive, malicious and prohibited outputs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 5 | EUR-Lex CELEX:32024R1689,The following AI practices shall be prohibited ...
TC14,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to controls over sensitive, malicious and prohibited outputs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC14,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to controls over sensitive, malicious and prohibited outputs, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC15,Regulation (EU) 2024/1689,Article 12,Supported,"Record-keeping directly and materially addresses automatic logging, log content, protection and retention; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 12 | EUR-Lex CELEX:32024R1689,High-risk AI systems shall technically allow for the automatic recording of events (logs) over the lifetime of the system.
TC15,Regulation (EU) 2024/1689,Article 19,Partially supported,"Provider retention of automatic logs is relevant to automatic logging, log content, protection and retention, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 19 | EUR-Lex CELEX:32024R1689,Providers of high-risk AI systems shall keep the logs ... for a period appropriate to the intended purpose ... of at least six months.
TC15,Regulation (EU) 2024/1689,Article 26(6),Partially supported,"Deployer log retention is relevant to automatic logging, log content, protection and retention, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(6) | EUR-Lex CELEX:32024R1689,Deployers ... shall keep the logs automatically generated ... for a period appropriate to the intended purpose ... of at least six months.
TC16,Regulation (EU) 2024/1689,Article 14,Supported,"Human oversight directly and materially addresses human review, override, stop and escalation; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 14 | EUR-Lex CELEX:32024R1689,High-risk AI systems shall be designed and developed ... so that they can be effectively overseen by natural persons during use.
TC16,Regulation (EU) 2024/1689,Article 26(2),Supported,"Assignment of human oversight directly and materially addresses human review, override, stop and escalation; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 26(2) | EUR-Lex CELEX:32024R1689,"Deployers shall assign human oversight to natural persons who have the necessary competence, training and authority, as well as the necessary support."
TC16,Regulation (EU) 2024/1689,Article 26(5),Partially supported,"Deployer monitoring and suspension is relevant to human review, override, stop and escalation, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(5) | EUR-Lex CELEX:32024R1689,Deployers shall monitor the operation of the high-risk AI system on the basis of the instructions for use ... and shall suspend use where the system may present a risk.
TC17,Regulation (EU) 2024/1689,Article 9,Supported,"Risk management system directly and materially addresses accuracy, limitations and repeatable performance testing; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC17,Regulation (EU) 2024/1689,Article 13,Partially supported,"Transparency and instructions for use is relevant to accuracy, limitations and repeatable performance testing, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 13 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be accompanied by instructions for use ... that include concise, complete, correct and clear information."
TC17,Regulation (EU) 2024/1689,Article 15,Supported,"Accuracy, robustness and cybersecurity directly and materially addresses accuracy, limitations and repeatable performance testing; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC17,Regulation (EU) 2024/1689,Article 26(5),Partially supported,"Deployer monitoring and suspension is relevant to accuracy, limitations and repeatable performance testing, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(5) | EUR-Lex CELEX:32024R1689,Deployers shall monitor the operation of the high-risk AI system on the basis of the instructions for use ... and shall suspend use where the system may present a risk.
TC19,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to resilience, recovery, fail-safe operation and manual fallback, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC19,Regulation (EU) 2024/1689,Article 15,Supported,"Accuracy, robustness and cybersecurity directly and materially addresses resilience, recovery, fail-safe operation and manual fallback; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC19,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to resilience, recovery, fail-safe operation and manual fallback, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC20,Regulation (EU) 2024/1689,Article 15,Supported,"Accuracy, robustness and cybersecurity directly and materially addresses vulnerability management, response and serious-incident reporting; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC20,Regulation (EU) 2024/1689,Article 17,Supported,"Quality management system directly and materially addresses vulnerability management, response and serious-incident reporting; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC20,Regulation (EU) 2024/1689,Article 20,Partially supported,"Corrective actions and duty of information is relevant to vulnerability management, response and serious-incident reporting, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 20 | EUR-Lex CELEX:32024R1689,"Providers ... shall immediately take the necessary corrective actions to bring that system into conformity, to withdraw it, to disable it, or to recall it."
TC20,Regulation (EU) 2024/1689,Article 73,Partially supported,"Serious-incident reporting is relevant to vulnerability management, response and serious-incident reporting, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 73 | EUR-Lex CELEX:32024R1689,Providers of high-risk AI systems placed on the Union market shall report any serious incident to the market surveillance authorities.
TC21,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to testing, approval and rollback of AI-system changes, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC21,Regulation (EU) 2024/1689,Article 15,Partially supported,"Accuracy, robustness and cybersecurity is relevant to testing, approval and rollback of AI-system changes, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 15 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be designed and developed ... to achieve an appropriate level of accuracy, robustness, and cybersecurity ... throughout their lifecycle."
TC21,Regulation (EU) 2024/1689,Article 17,Supported,"Quality management system directly and materially addresses testing, approval and rollback of AI-system changes; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC21,Regulation (EU) 2024/1689,Article 72,Partially supported,"Post-market monitoring is relevant to testing, approval and rollback of AI-system changes, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 72 | EUR-Lex CELEX:32024R1689,Providers shall establish and document a post-market monitoring system ... proportionate to the nature of the AI technologies and the risks.
TC22,Regulation (EU) 2024/1689,Article 9,Supported,"Risk management system directly and materially addresses ongoing monitoring of performance, misuse and emerging risk; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC22,Regulation (EU) 2024/1689,Article 20,Partially supported,"Corrective actions and duty of information is relevant to ongoing monitoring of performance, misuse and emerging risk, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 20 | EUR-Lex CELEX:32024R1689,"Providers ... shall immediately take the necessary corrective actions to bring that system into conformity, to withdraw it, to disable it, or to recall it."
TC22,Regulation (EU) 2024/1689,Article 26(5),Supported,"Deployer monitoring and suspension directly and materially addresses ongoing monitoring of performance, misuse and emerging risk; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 26(5) | EUR-Lex CELEX:32024R1689,Deployers shall monitor the operation of the high-risk AI system on the basis of the instructions for use ... and shall suspend use where the system may present a risk.
TC22,Regulation (EU) 2024/1689,Article 72,Supported,"Post-market monitoring directly and materially addresses ongoing monitoring of performance, misuse and emerging risk; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 72 | EUR-Lex CELEX:32024R1689,Providers shall establish and document a post-market monitoring system ... proportionate to the nature of the AI technologies and the risks.
TC23,Regulation (EU) 2024/1689,Article 13,Partially supported,"Transparency and instructions for use is relevant to inventory and governance of third-party components and data sources, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 13 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be accompanied by instructions for use ... that include concise, complete, correct and clear information."
TC23,Regulation (EU) 2024/1689,Article 25(4),Partially supported,"Written cooperation along the AI value chain is relevant to inventory and governance of third-party components and data sources, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 25(4) | EUR-Lex CELEX:32024R1689,"The provider ... and the third party ... shall, by written agreement, specify the necessary information, capabilities, technical access and other assistance."
TC24,Regulation (EU) 2024/1689,Article 9,Partially supported,"Risk management system is relevant to export, revocation, deletion and safe system retirement, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 9 | EUR-Lex CELEX:32024R1689,"A risk management system shall be established, implemented, documented and maintained in relation to high-risk AI systems."
TC24,Regulation (EU) 2024/1689,Article 17,Partially supported,"Quality management system is relevant to export, revocation, deletion and safe system retirement, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
TC24,Regulation (EU) 2024/1689,Article 26(5),Partially supported,"Deployer monitoring and suspension is relevant to export, revocation, deletion and safe system retirement, but it does not by itself require every implementation detail listed in the control.",SYNTHETIC_PREVIEW_2026-09 | Article 26(5) | EUR-Lex CELEX:32024R1689,Deployers shall monitor the operation of the high-risk AI system on the basis of the instructions for use ... and shall suspend use where the system may present a risk.
TC24,Regulation (EU) 2024/1689,Article 72,Unsupported,"Post-market monitoring addresses a different legal obligation and does not materially require export, revocation, deletion and safe system retirement.",SYNTHETIC_PREVIEW_2026-09 | Article 72 | EUR-Lex CELEX:32024R1689,Providers shall establish and document a post-market monitoring system ... proportionate to the nature of the AI technologies and the risks.
TC25,Regulation (EU) 2024/1689,Article 11,Supported,"Technical documentation directly and materially addresses technical documentation, instructions, tests and approvals; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 11 | EUR-Lex CELEX:32024R1689,The technical documentation of a high-risk AI system shall be drawn up before that system is placed on the market or put into service and shall be kept up-to-date.
TC25,Regulation (EU) 2024/1689,Article 13,Supported,"Transparency and instructions for use directly and materially addresses technical documentation, instructions, tests and approvals; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 13 | EUR-Lex CELEX:32024R1689,"High-risk AI systems shall be accompanied by instructions for use ... that include concise, complete, correct and clear information."
TC25,Regulation (EU) 2024/1689,Article 17,Supported,"Quality management system directly and materially addresses technical documentation, instructions, tests and approvals; the mapping is suitable at article level.",SYNTHETIC_PREVIEW_2026-09 | Article 17 | EUR-Lex CELEX:32024R1689,"Providers of high-risk AI systems shall put a quality management system in place ... documented ... in written policies, procedures and instructions."
DORA-01,Regulation (EU) 2022/2554,Article 6(5),Supported,"Article 6(5) directly states the annual review and the additional incident, supervisory and assurance triggers.",SYNTHETIC_PREVIEW_2026-09 | Article 6(5) | EUR-Lex CELEX:32022R2554,"The ICT risk management framework shall be documented and reviewed at least once a year ... as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant testing or audit processes."
DORA-02,Regulation (EU) 2022/2554,Article 11(6),Supported,Article 11(6) directly states the yearly testing cadence and the substantive-change trigger.,SYNTHETIC_PREVIEW_2026-09 | Article 11(6) | EUR-Lex CELEX:32022R2554,"Financial entities ... shall test the ICT business continuity plans and the ICT response and recovery plans ... at least yearly, as well as in the event of any substantive changes to ICT systems supporting critical or important functions."
DORA-03,Regulation (EU) 2022/2554,Article 14,Partially supported,"Article 14 establishes crisis communication plans, but the requirement to test those plans is located in Article 11(6)(b).",SYNTHETIC_PREVIEW_2026-09 | Article 14 | EUR-Lex CELEX:32022R2554,"Financial entities shall have in place crisis communication plans enabling a responsible disclosure of, at least, major ICT-related incidents."
DORA-04,Regulation (EU) 2022/2554,Article 24(6),Supported,"Article 24(6) directly supports the annual testing requirement, subject to the microenterprise exception.",SYNTHETIC_PREVIEW_2026-09 | Article 24(6) | EUR-Lex CELEX:32022R2554,"Financial entities, other than microenterprises, shall perform appropriate tests on all ICT systems and applications supporting critical or important functions at least yearly."
DORA-05,Regulation (EU) 2022/2554,Article 28(3),Supported,Article 28(3) directly states the yearly reporting requirement and the categories to report.,SYNTHETIC_PREVIEW_2026-09 | Article 28(3) | EUR-Lex CELEX:32022R2554,"Financial entities shall report at least yearly ... on the number of new arrangements ... the categories of ICT third-party service providers, the type of contractual arrangements and the ICT services and functions being provided."
DORA-06,Regulation (EU) 2022/2554,Article 5(4),Supported,Article 5(4) requires regular training for management-body members but does not set a uniform number of sessions or hours.,SYNTHETIC_PREVIEW_2026-09 | Article 5(4) | EUR-Lex CELEX:32022R2554,Members of the management body shall actively keep up to date sufficient knowledge and skills ... including by regularly following specific training.
DORA-07,Regulation (EU) 2022/2554,Article 13(6),Supported,Article 13(6) makes the training compulsory while leaving its frequency and duration risk-based.,SYNTHETIC_PREVIEW_2026-09 | Article 13(6) | EUR-Lex CELEX:32022R2554,Financial entities shall develop ICT security awareness programmes and digital operational resilience training as compulsory modules in their staff training schemes.
DORA-08,Regulation (EU) 2022/2554,Article 19(4),Partially supported,"Article 19(4) supports the three-stage report structure, but the stated four-hour, 24-hour and 72-hour limits come from Delegated Regulation (EU) 2025/301.",SYNTHETIC_PREVIEW_2026-09 | Article 19(4) | EUR-Lex CELEX:32022R2554,Financial entities shall submit ... an initial notification; an intermediate report ...; and a final report.
DORA-10,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(a),Supported,Article 5(1)(a) directly states both limits for the initial notification.,SYNTHETIC_PREVIEW_2026-09 | Article 5(1)(a) | EUR-Lex CELEX:32025R0301,submit the initial notification ... within four hours from classification ... but no later than 24 hours from the moment of becoming aware of the incident.
DORA-12,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),Supported,Article 5(1)(b) directly states the 72-hour limit and applies even where incident handling has not changed.,SYNTHETIC_PREVIEW_2026-09 | Article 5(1)(b) | EUR-Lex CELEX:32025R0301,"for the intermediate report: at the latest within 72 hours from the submission of the initial notification, even where the status or handling of the incident have not changed."
DORA-13,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(b),Partially supported,"Article 5(1)(b) supports prompt updating and the recovery trigger, but the material-change and authority-request triggers require DORA Article 19(4)(b).",SYNTHETIC_PREVIEW_2026-09 | Article 5(1)(b) | EUR-Lex CELEX:32025R0301,"Financial entities shall submit an updated intermediate report without undue delay, and in any case when the regular activities have been recovered."
DORA-14,Commission Delegated Regulation (EU) 2025/301,Article 5(1)(c),Supported,Article 5(1)(c) directly supports the one-month final-report deadline.,SYNTHETIC_PREVIEW_2026-09 | Article 5(1)(c) | EUR-Lex CELEX:32025R0301,"for the final report: no later than one month after either the submission of the intermediate report, or, where applicable, after the latest updated intermediate report."
DORA-15,Commission Delegated Regulation (EU) 2024/1774,Article 10(2),Supported,Article 10(2) directly requires weekly automated scanning and assessment for ICT assets supporting critical or important functions.,SYNTHETIC_PREVIEW_2026-09 | Article 10(2) | EUR-Lex CELEX:32024R1774,financial entities shall perform the automated vulnerability scanning and assessments ... on at least a weekly basis.
DORA-16,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),Supported,Article 21(1)(e)(iv) directly provides the yearly access-right review cadence for systems outside the critical-or-important category.,SYNTHETIC_PREVIEW_2026-09 | Article 21(1)(e)(iv) | EUR-Lex CELEX:32024R1774,"update of access rights ... at least once a year for all ICT systems, other than ICT systems supporting critical or important functions."
DORA-17,Commission Delegated Regulation (EU) 2024/1774,Article 21(1)(e)(iv),Supported,Article 21(1)(e)(iv) directly provides the six-month cadence for systems supporting critical or important functions.,SYNTHETIC_PREVIEW_2026-09 | Article 21(1)(e)(iv) | EUR-Lex CELEX:32024R1774,update of access rights ... at least every 6 months for ICT systems supporting critical or important functions.
DORA-18,Commission Delegated Regulation (EU) 2024/1774,Article 26,Partially supported,"Article 26 supplies the severe-but-plausible scenario requirements, while the annual cadence comes from DORA Article 11(6); the provisions work together.",SYNTHETIC_PREVIEW_2026-09 | Article 26 | EUR-Lex CELEX:32024R1774,Testing of ICT response and recovery plans shall take account of severe but plausible scenarios and the scenarios developed for business continuity testing.
DORA-18,Regulation (EU) 2022/2554,Article 11(6),Partially supported,"Article 11(6) supplies the annual cadence, while the detailed scenario design is supplied by Delegated Regulation (EU) 2024/1774 Article 26.",SYNTHETIC_PREVIEW_2026-09 | Article 11(6) | EUR-Lex CELEX:32022R2554,Financial entities ... shall test the ICT business continuity plans and the ICT response and recovery plans ... at least yearly.
DORA-19,Commission Delegated Regulation (EU) 2024/1773,Article 3,Supported,Article 3(1) directly requires annual management-body review and updating where necessary.,SYNTHETIC_PREVIEW_2026-09 | Article 3 | EUR-Lex CELEX:32024R1773,The management body shall review the policy at least once a year and update it where necessary.
